,SBER,PLZL,POLY,GAZP,LKOH,TCSG,MOEX,TATN,ROSN,SBERP,FLOT,SELG,MTLRP,NVTK,VKCO,POSI,YNDX,MTLR,MAGN,CBOM,GMKN,CHMF,PHOR,BSPB,MGNT
10,149.9,14125.5,954.5,246.8,5356.0,3309.0,109.9,396.9,414.0,155.47,58.0,61.3,206.4,1296.8,490.8,1074.8,2115.0,113.0,43.87,5.685,21416,1085.0,7653,64.01,4250.0
11,151.0,14100.0,936.7,246.79,5319.5,3260.0,104.66,394.8,416.0,154.39,53.3,57.0,210.4,1274.6,481.8,1044.0,2115.0,120.0,44.1,5.684,21202,1082.2,7370,67.2,4422.0
12,146.98,14394.5,920.0,242.78,5385.0,3200.0,103.7,391.0,427.95,151.0,53.29,54.36,218.95,1198.0,473.6,1037.6,2099.2,129.5,43.4,5.541,21392,1079.0,7149,64.19,4405.0
13,140.1,14950.0,873.7,236.63,5250.0,3030.0,101.48,385.1,424.0,144.24,52.2,53.0,218.3,1139.0,440.2,1020.0,1996.0,131.9,42.36,5.443,21184,1046.2,6927,67.0,4420.0
14,138.14,14550.0,903.0,239.64,5209.0,3069.0,100.88,387.9,417.5,143.0,50.43,52.05,208.0,1138.2,467.4,969.0,2019.2,123.75,42.8,5.335,20984,1042.2,7369,62.29,4340.0
15,135.89,14123.5,869.7,235.5,5120.0,2731.0,99.85,385.5,407.5,142.0,49.5,52.79,208.25,1106.6,442.8,988.0,1910.6,128.47,42.0,5.271,20848,1019.0,7400,61.19,4262.5
16,131.72,14180.5,854.6,226.65,4956.0,2775.0,94.43,368.2,395.95,135.9,49.49,52.9,203.25,1059.8,459.6,958.8,1890.0,120.85,40.43,5.154,20300,994.6,6840,58.94,4145.0
17,132.68,14283.5,847.2,226.0,4948.0,2648.0,95.0,365.0,395.0,139.25,46.9,51.51,203.95,1112.4,444.4,940.8,1808.6,124.0,40.7,5.187,20500,985.0,7131,58.69,4156.5
18,123.85,13957.0,836.9,222.0,4592.0,2560.0,90.99,351.7,385.25,129.67,46.24,51.5,204.1,1078.8,441.0,917.0,1695.0,126.0,40.0,5.132,20084,1015.6,7000,57.0,4038.5
19,125.44,13848.0,771.8,229.84,4536.0,2228.5,93.7,355.0,399.3,129.35,45.53,51.36,203.0,1031.0,425.0,925.0,1698.0,125.5,41.32,5.097,20590,1045.0,7187,56.72,4300.0
20,123.05,13785.0,729.0,221.0,4340.0,2138.0,94.83,355.0,398.7,126.88,44.24,51.3,198.4,1080.0,390.0,918.8,1628.0,128.0,41.9,4.966,20570,1064.2,7300,56.29,4273.5
21,122.32,13633.5,744.4,215.0,4044.0,2690.5,91.97,359.7,407.3,126.1,44.37,49.88,204.05,1020.8,432.0,894.0,1770.0,126.79,42.34,4.899,20300,1068.0,7099,56.72,4330.0
22,116.4,13339.5,765.7,209.95,3994.0,2950.0,90.43,366.4,397.0,123.27,46.0,50.9,194.95,990.2,457.0,925.0,1928.6,136.0,42.03,4.772,20200,1058.2,6985,57.95,4318.5
23,124.92,13100.0,734.4,229.74,4587.5,3030.0,91.44,375.0,400.95,128.88,46.7,50.5,200.0,1057.8,416.6,980.0,1817.6,142.43,42.7,5.338,21088,1072.6,7039,63.94,4460.0
24,131.73,13220.5,743.3,237.5,4559.0,2666.5,94.44,384.0,409.9,134.5,44.99,50.9,191.0,1098.0,417.8,940.0,1813.6,137.95,43.615,5.481,21284,1096.6,7075,57.89,4761.0
25,134.5,13475.0,770.0,249.0,4740.0,2533.0,97.78,386.8,404.8,136.88,44.75,50.0,188.35,1144.0,396.0,970.0,1751.8,134.9,44.2,5.726,21486,1097.4,7277,57.53,4939.0
26,130.0,13800.0,711.2,245.43,4717.0,2497.5,95.0,387.0,409.9,131.0,44.1,50.0,183.9,1093.0,388.8,955.0,1734.0,133.9,44.93,5.577,21564,1096.0,7179,58.48,4700.0
27,131.5,13744.0,711.0,244.39,4772.5,2349.0,96.82,390.0,414.85,132.23,42.71,60.97,175.1,1054.8,383.6,945.0,1728.6,133.54,44.84,5.618,21600,1120.0,7200,58.29,4796.5
28,125.54,13900.0,704.0,239.4,4689.5,2259.0,92.25,375.7,403.05,126.87,41.73,50.8,175.5,1022.0,371.4,958.8,1694.8,133.5,44.75,5.579,21550,1103.8,7188,59.16,4792.0
29,124.99,13614.5,668.5,242.92,4690.0,2183.0,91.7,381.9,398.4,125.47,41.63,49.98,175.6,1014.2,350.0,1010.0,1624.6,133.0,44.7,5.517,21850,1108.0,7486,59.55,4784.5
30,126.05,13484.5,653.0,243.35,4699.0,2229.0,90.99,388.0,396.35,126.41,40.73,49.4,174.0,1009.6,355.0,972.4,1679.0,129.8,44.7,5.504,21748,1130.0,7989,60.0,4826.0
31,123.74,13100.0,663.4,241.89,4581.0,2380.0,89.99,379.4,393.25,121.9,41.5,50.0,181.0,989.4,365.0,978.0,1707.0,135.5,44.48,5.511,21420,1134.6,8300,60.95,4898.0
32,121.59,12789.5,655.0,237.2,4439.0,2549.5,88.89,373.4,379.0,117.93,43.0,49.68,186.2,978.8,384.4,968.8,1795.0,139.95,43.19,5.542,21410,1109.2,7850,63.5,4790.0
33,123.5,12400.0,648.6,246.95,4669.5,2400.0,89.8,375.0,383.0,119.89,42.75,49.46,194.8,998.2,379.8,970.0,1713.0,142.9,43.6,5.724,21418,1110.0,8099,66.79,4825.0
34,127.78,12572.5,632.5,260.0,4589.0,2305.0,91.2,398.0,395.4,124.0,44.29,49.34,189.9,1011.0,370.0,955.0,1733.4,137.78,44.79,5.781,21488,1120.0,8197,66.59,4875.0
35,131.3,12450.0,608.9,269.42,4565.0,2240.0,94.4,413.5,406.0,127.3,46.16,49.27,188.1,1029.0,368.8,955.0,1673.8,137.7,45.87,5.918,21700,1159.4,8049,67.28,4923.5
36,126.86,12350.0,570.0,269.78,4509.5,2225.5,91.95,409.7,405.95,123.47,44.18,49.07,187.0,1015.0,349.2,939.8,1629.0,131.5,45.75,5.835,21492,1158.8,8100,65.48,4904.5
37,127.0,12454.5,559.0,268.9,4449.0,2180.0,91.95,409.8,402.7,124.7,41.49,48.18,181.7,1018.6,344.8,922.6,1636.0,126.0,45.55,5.799,21400,1152.6,8000,65.99,4884.5
38,122.5,12124.0,577.6,273.0,4350.0,2245.0,90.8,408.4,389.0,119.14,41.34,48.0,184.9,994.0,364.4,917.8,1708.6,128.0,43.8,5.627,20748,1118.0,7549,64.34,4686.5
39,125.0,11698.0,579.0,267.29,4062.5,2247.5,89.96,372.9,367.0,121.72,42.18,48.83,186.0,962.8,357.0,915.0,1705.0,130.4,41.105,5.517,20222,1049.6,7206,63.8,4474.0
40,125.5,11650.0,574.1,271.66,4148.0,2234.0,89.68,375.0,382.0,121.02,41.22,48.79,193.0,960.0,357.8,911.8,1663.0,132.76,39.46,5.547,20246,1049.0,7277,65.5,4576.0
41,125.99,11770.0,585.0,298.31,4298.5,2162.0,91.16,389.0,392.55,117.63,40.48,48.99,222.0,988.0,343.0,927.0,1602.0,136.7,39.7,5.684,20500,1068.0,7403,65.98,4690.0
42,123.5,11906.0,582.1,305.0,4359.5,2158.0,92.7,400.0,408.3,114.34,39.77,48.34,223.25,988.4,358.2,907.6,1623.0,133.71,39.21,5.669,20450,1059.2,7417,65.0,4632.0
43,123.0,11800.0,579.9,302.0,4380.0,2128.5,91.96,400.0,414.5,113.65,39.65,48.39,191.45,969.8,337.4,909.8,1607.6,133.47,38.91,5.652,20286,1031.8,7290,65.0,4622.0
44,120.0,11800.0,568.4,302.0,4199.0,2123.5,89.56,392.0,386.7,112.69,39.39,48.39,163.0,940.0,330.6,894.8,1620.0,133.65,37.0,5.639,20200,1001.2,7193,65.85,4690.5
45,122.69,11567.0,513.6,299.5,4125.0,2010.0,90.0,398.2,380.35,114.5,38.85,48.25,155.0,920.0,308.0,937.0,1525.6,132.6,36.5,5.715,20428,974.6,7260,65.9,4638.0
46,122.39,11567.0,480.0,299.33,4085.5,1913.0,88.0,396.8,378.7,114.25,38.45,48.48,152.55,910.0,289.2,907.0,1442.6,124.72,35.965,5.666,20500,970.0,7290,68.25,4575.0
47,120.16,11489.0,499.6,297.24,4070.0,1944.5,90.66,394.0,371.45,113.15,38.0,48.48,149.9,866.8,296.8,888.0,1495.0,129.0,34.865,5.558,20480,830.0,7070,67.64,4452.0
48,120.35,11200.0,481.0,299.0,4028.0,1896.0,89.24,391.3,373.9,113.82,38.25,48.57,156.65,827.8,288.8,881.0,1461.2,130.71,33.5,5.492,20720,735.2,7050,67.64,4374.5
49,118.9,11141.0,478.9,298.69,3970.0,1780.0,87.1,393.0,369.0,113.8,38.01,48.62,155.95,839.0,284.4,881.0,1470.0,126.99,31.815,5.475,20370,723.0,7150,67.65,4463.0
50,122.19,10968.5,466.0,309.6,4050.0,1690.0,88.0,407.9,375.0,117.48,37.83,50.55,156.0,846.0,278.8,874.4,1429.2,123.41,32.435,5.508,20262,748.4,7232,67.06,4488.0
